# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	1954
#@/user_id	813273a1-82f8-48ef-b3a3-b5fbee29d649
a 	啊	c=1 d=1 t=1120
wang ka 	网卡	c=0 d=0.1 t=853
wang ye 	网页	c=1 d=1 t=778
wang zhan 	网站	c=2 d=1.00161 t=1650
wang zhi 	网址	c=1 d=1 t=287
wei 	为	c=2 d=1.44264 t=1141
wei 	位	c=2 d=1.0087 t=977
wei kong 	为空	c=1 d=1 t=10
wei shen me 	为什么	c=4 d=1.08293 t=1246
wei wan 	委婉	c=1 d=1 t=1522
wei zhi 	位置	c=1 d=1 t=1456
wen dang 	文档	c=1 d=1 t=889
wen jian 	文件	c=12 d=1.32679 t=1467
wen jian jia 	文件夹	c=6 d=5.36354 t=144
wen ti 	问题	c=11 d=1.9114 t=1660
wo 	我	c=30 d=9.44323 t=1913
wo bing mei you 	我并没有	c=1 d=1 t=1211
wo bu xu yao 	我不需要	c=1 d=1 t=658
wo da kai 	我打开	c=1 d=1 t=575
wo de 	我的	c=5 d=1.54658 t=1877
wo hai 	我还	c=1 d=1 t=1729
wo kan 	我看	c=1 d=1 t=1234
wo mei 	我没	c=1 d=1 t=938
wo mu qian 	我目前	c=1 d=1 t=1547
wo shi 	我是	c=2 d=1.00259 t=1776
wo shuo 	我说	c=1 d=1 t=191
wo xian 	我先	c=1 d=1 t=1191
wo xian zai 	我现在	c=5 d=1.99359 t=1426
wo xu yao 	我需要	c=4 d=1.87307 t=1796
wo yi jing 	我已经	c=3 d=1.66523 t=1892
wo yin wei 	我因为	c=2 d=1.99005 t=1314
wo zai 	我在	c=3 d=1.45628 t=1817
wo zen me 	我怎么	c=1 d=1 t=402
wo zhe bian 	我这边	c=3 d=2.82795 t=842
wo zhe yang 	我这样	c=1 d=1 t=921
wo zi ji de 	我自己的	c=1 d=1 t=99
wu bi 	五笔	c=4 d=3.87338 t=49
wu gu 	巫蛊	c=0 d=0.1 t=630
wu gu ren ou 	巫蛊人偶	c=2 d=1.99501 t=632
wu xiao 	无效	c=1 d=1 t=91
xi tong 	系统	c=4 d=1.41649 t=859
xia 	下	c=14 d=2.9518 t=1868
xia mian 	下面	c=11 d=3.21945 t=1896
xia zai 	下载	c=1 d=1 t=1153
xian 	先	c=2 d=1.04159 t=1184
xian shi 	显示	c=2 d=1.75201 t=760
xian shi qi 	显示器	c=1 d=1 t=416
xian zai 	现在	c=16 d=4.56931 t=1925
xiang ge 	想个	c=1 d=1 t=1403
xiang guan 	相关	c=2 d=1.29229 t=1583
xiang mu 	项目	c=5 d=2.14253 t=741
xiang xi 	详细	c=2 d=1.00465 t=1878
xiang xin 	相信	c=1 d=1 t=803
